Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Tzo-ABol_002-Ex1-2A-lcwgs-1-1.clmp.fp2_r1_screen	4064.0	560.0	521.0	368.0	242.0	64.0	67.0	13.0	3.0	0.0	13870.0	664353.0
Tzo-ABol_002-Ex1-2A-lcwgs-1-1.clmp.fp2_r2_screen	4125.0	523.0	505.0	318.0	227.0	64.0	66.0	18.0	0.0	0.0	13857.0	664422.0
Tzo-ABol_003-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	4090.0	518.0	535.0	354.0	253.0	64.0	47.0	13.0	0.0	0.0	13238.0	653845.0
Tzo-ABol_003-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	4163.0	532.0	498.0	328.0	239.0	57.0	59.0	18.0	2.0	0.0	13149.0	653912.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-1.clmp.fp2_r1_screen	15263.0	6413.0	1904.0	1395.0	918.0	231.0	202.0	59.0	15.0	0.0	50242.0	2325928.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-1.clmp.fp2_r2_screen	15283.0	6270.0	1894.0	1283.0	926.0	214.0	220.0	62.0	3.0	0.0	49767.0	2326648.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-1.clmp.fp2_r1_screen	12595.0	3440.0	1607.0	988.0	788.0	172.0	158.0	58.0	12.0	0.0	50137.0	2109311.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-1.clmp.fp2_r2_screen	12630.0	3326.0	1574.0	1043.0	840.0	150.0	137.0	58.0	4.0	0.0	49321.0	2110183.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-1.clmp.fp2_r1_screen	20475.0	2917.0	2449.0	1661.0	1236.0	274.0	271.0	71.0	12.0	0.0	65951.0	3501547.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-1.clmp.fp2_r2_screen	20351.0	2933.0	2419.0	1697.0	1235.0	280.0	295.0	89.0	2.0	0.0	65657.0	3501906.0
Tzo-ABol_011-Ex1-11A-lcwgs-1-1.clmp.fp2_r1_screen	112.0	9.0	15.0	6.0	6.0	2.0	2.0	1.0	0.0	0.0	433.0	16548.0
Tzo-ABol_011-Ex1-11A-lcwgs-1-1.clmp.fp2_r2_screen	115.0	9.0	7.0	8.0	9.0	1.0	1.0	0.0	0.0	0.0	406.0	16578.0
Tzo-ABol_012-Ex1-12A-lcwgs-1-1.clmp.fp2_r1_screen	6374.0	842.0	1251.0	556.0	395.0	103.0	82.0	25.0	1.0	0.0	21041.0	955488.0
Tzo-ABol_012-Ex1-12A-lcwgs-1-1.clmp.fp2_r2_screen	6305.0	815.0	1195.0	541.0	377.0	95.0	91.0	29.0	0.0	0.0	21025.0	955685.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-1.clmp.fp2_r1_screen	27278.0	5502.0	3826.0	2412.0	1702.0	429.0	414.0	98.0	41.0	0.0	94590.0	3944279.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-1.clmp.fp2_r2_screen	27441.0	5312.0	3553.0	2518.0	1625.0	426.0	408.0	102.0	5.0	0.0	94085.0	3945096.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-1.clmp.fp2_r1_screen	32768.0	2871.0	4290.0	2999.0	2021.0	547.0	467.0	104.0	4.0	0.0	106930.0	4387059.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-1.clmp.fp2_r2_screen	33041.0	2720.0	4141.0	3019.0	1983.0	550.0	453.0	108.0	4.0	0.0	106074.0	4387967.0
Tzo-ABol_024-Ex1-12B-lcwgs-1-1.clmp.fp2_r1_screen	105.0	10.0	8.0	9.0	6.0	0.0	2.0	1.0	0.0	0.0	436.0	16434.0
Tzo-ABol_024-Ex1-12B-lcwgs-1-1.clmp.fp2_r2_screen	137.0	10.0	2.0	16.0	5.0	1.0	3.0	0.0	1.0	0.0	404.0	16432.0
