Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Tzo-ABol_002-Ex1-2A-lcwgs-1-1	9.71307	0.941264	147663569.0	0.391708	98.28058581104378	93.89886220852337
Tzo-ABol_003-Ex1-3A-lcwgs-1-1	10.3068	0.93719	152075609.0	0.392626	98.1644020740191	90.92208190811624
Tzo-ABol_008-Ex1-8A-lcwgs-1-1	10.1492	0.934905	560214431.0	0.389019	97.95286475779533	89.16070614527445
Tzo-ABol_009-Ex1-9A-lcwgs-1-1	9.90615	0.931949	538459111.0	0.418836	97.82061401831136	86.54106147485405
Tzo-ABol_010-Ex1-10A-lcwgs-1-1	10.0186	0.939708	803898198.0	0.393438	98.34357931836156	94.71622460841087
Tzo-ABol_011-Ex1-11A-lcwgs-1-1	0.774228	0.903201	3203357.0	0.394296	94.61683614634657	81.60184505713387
Tzo-ABol_012-Ex1-12A-lcwgs-1-1	8.839229999999999	0.940076	208725411.0	0.383273	97.93535423534517	93.48571595111494
Tzo-ABol_020-Ex1-8B-lcwgs-1-1	10.2197	0.939226	935143247.0	0.387585	98.12695115010803	92.94346246148349
Tzo-ABol_023-Ex1-11B-lcwgs-1-1	9.69432	0.936827	1037010706.0	0.384719	98.02421973358801	89.70997448994711
Tzo-ABol_024-Ex1-12B-lcwgs-1-1	0.9031330000000001	0.90336	3185953.0	0.395446	95.4004588869324	79.91302491862761
Tzo-ABol_026-Ex1-2C-lcwgs-1-1	9.52141	0.940883	427852244.0	0.382953	98.29102468952748	92.91976350780588
Tzo-ABol_030-Ex1-6C-lcwgs-1-1	8.98655	0.93867	921839676.0	0.388717	98.03055739069426	92.64683644132586
Tzo-ABol_034-Ex1-10C-lcwgs-1-1	8.91072	0.937018	884987865.0	0.390406	97.56661546268998	91.68968757982829
Tzo-ABol_035-Ex1-11C-lcwgs-1-1	7.572379999999999	0.937264	48194961.0	0.384526	96.55172413793103	92.1639035366224
Tzo-ABol_036-Ex1-12C-lcwgs-1-1	9.8896	0.93928	1086126940.0	0.407187	97.74028057043898	92.3538782800048
Tzo-ABol_038-Ex1-2D-lcwgs-1-1	9.950249999999999	0.936914	580758828.0	0.394448	97.69433316933454	90.19175842948108
Tzo-ABol_043-Ex1-7D-lcwgs-1-1	8.53435	0.94303	505929266.0	0.390512	98.10275377581806	95.8645463095598
Tzo-ABol_044-Ex1-8D-lcwgs-1-1	9.94514	0.935818	1115473992.0	0.429762	97.20207204556608	91.21100480144074
Tzo-ABol_045-Ex1-9D-lcwgs-1-1	8.5774	0.943009	548477094.0	0.392495	97.70139481715587	96.3427068948478
Tzo-ABol_046-Ex1-10D-lcwgs-1-1	7.831589999999999	0.941197	165909404.0	0.401409	97.70546524418326	96.43273779844938
Tzo-ABol_047-Ex1-11D-lcwgs-1-1	9.60695	0.936411	912816726.0	0.395376	97.89924489163258	89.94768205077176
Tzo-ABol_048-Ex1-12D-lcwgs-1-1	8.69588	0.936659	216870226.0	0.383428	97.89178928447491	90.88522301488685
Tzo-ABol_050-Ex1-2E-lcwgs-1-1	9.11961	0.940057	391663217.0	0.397966	97.93130770365251	93.12114723305756
Tzo-ABol_051-Ex1-3E-lcwgs-1-1	10.3717	0.940895	168141380.0	0.394816	98.02694429821996	95.35941978124816
Tzo-ABol_052-Ex1-4E-lcwgs-1-1	8.71011	0.942847	404277871.0	0.390737	97.92087448608521	96.15442420941392
Tzo-ABol_053-Ex1-5E-lcwgs-1-1	10.5983	0.940945	1481172075.0	0.38469	97.96164841442031	94.68414093393717
Tzo-ABol_054-Ex1-6E-lcwgs-1-1	9.8084	0.934411	1434425352.0	0.402852	96.9323609969257	89.96345433464955
Tzo-ABol_055-Ex1-7E-lcwgs-1-1	9.020259999999999	0.938616	495841818.0	0.387705	97.97655406501443	92.72235875664333
Tzo-ABol_056-Ex1-8E-lcwgs-1-1	9.07432	0.938115	297003149.0	0.389048	97.7057048158761	93.64750395364942
Tzo-ABol_057-Ex1-9E-lcwgs-1-1	10.0242	0.936799	1159972813.0	0.395873	97.91324060145982	91.5611452320937
Tzo-ABol_058-Ex1-10E-lcwgs-1-1	8.285499999999999	0.937872	298605239.0	0.382982	97.72064108211588	94.17157679394909
Tzo-ABol_059-Ex1-11E-lcwgs-1-1	8.72753	0.937932	254208735.0	0.386126	97.81338114253117	92.76909787303399
Tzo-ABol_060-Ex1-12E-lcwgs-1-1	9.56746	0.939661	261925528.0	0.389424	98.12737049929859	94.05004676053412
Tzo-ABol_061-Ex1-1F-lcwgs-1-1	9.26076	0.944553	261086113.0	0.399902	97.96382971948928	96.68211520704595
Tzo-ABol_062-Ex1-2F-lcwgs-1-1	10.6587	0.948713	895499232.0	0.400564	96.88437684842816	97.78955151733844
Tzo-ABol_063-Ex1-3F-lcwgs-1-1	2.12018	0.920128	5590078.0	0.391499	96.39414802065404	90.80608146873207
Tzo-ABol_065-Ex1-5F-lcwgs-1-1	9.58072	0.943039	464495279.0	0.397489	97.33923822437143	95.09530050081723
Tzo-ABol_066-Ex1-6F-lcwgs-1-1	8.50441	0.935988	450116851.0	0.395953	97.11420188000164	90.12243202461264
Tzo-ABol_067-Ex1-7F-lcwgs-1-1	9.16291	0.94556	393790440.0	0.389858	97.8835461123236	96.07646599533592
Tzo-ABol_068-Ex1-8F-lcwgs-1-1	10.42	0.939293	648944835.0	0.416184	97.70051828598353	92.06089197968414
Tzo-ABol_069-Ex1-9F-lcwgs-1-1	9.12208	0.941793	729837991.0	0.389959	97.75553167475172	94.53354966300535
Tzo-ABol_070-Ex1-10F-lcwgs-1-1	8.75901	0.938334	251669504.0	0.387112	97.8744368617098	93.57574777817563
Tzo-ABol_071-Ex1-11F-lcwgs-1-1	9.06275	0.942101	155493781.0	0.384543	98.02386659993151	94.66541977292484
Tzo-ABol_072-Ex1-12F-lcwgs-1-1	10.019599999999999	0.939942	359973269.0	0.386907	98.10575323231065	92.56463907806727
Tzo-ABol_073-Ex1-1G-lcwgs-1-1	7.930039999999999	0.941013	329023580.0	0.392963	97.89943719575092	94.75738994753998
Tzo-ABol_075-Ex1-3G-lcwgs-1-1	10.655299999999999	0.946991	1072780267.0	0.399022	98.18619155552473	97.57976650165524
Tzo-ABol_076-Ex1-4G-lcwgs-1-1	9.9095	0.948978	748144473.0	0.406793	98.39954291023496	98.4632741646809
Tzo-ABol_077-Ex1-5G-lcwgs-1-1	9.17413	0.938688	305008885.0	0.3847	98.0519332247966	92.05283401872829
Tzo-ABol_078-Ex1-6G-lcwgs-1-1	8.458730000000001	0.937608	454944434.0	0.382774	97.55806833090598	91.99694800856994
Tzo-ABol_079-Ex1-7G-lcwgs-1-1	8.83349	0.938304	344622756.0	0.380843	97.73584754178235	90.96674824011598
Tzo-ABol_080-Ex1-8G-lcwgs-1-1	10.4351	0.937532	1341552802.0	0.384321	97.93497741699314	90.99081291052653
Tzo-ABol_081-Ex1-9G-lcwgs-1-1	8.96857	0.938736	735282343.0	0.388525	97.74430949420588	91.96664020736598
Tzo-ABol_082-Ex1-10G-lcwgs-1-1	8.85717	0.935065	312559234.0	0.4315	96.9394154877634	91.18563696110171
Tzo-ABol_083-Ex1-11G-lcwgs-1-1	9.257990000000001	0.938825	342551133.0	0.392275	97.98076070573633	91.82113497609264
Tzo-ABol_084-Ex1-12G-lcwgs-1-1	9.371559999999999	0.942423	528767439.0	0.386316	98.14320239658872	94.66812655095512
Tzo-ABol_085-Ex1-1H-lcwgs-1-1	8.96232	0.944653	383801537.0	0.395025	97.95700985807268	96.85131847308324
