Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L3-clmp.r1r2_fastp	3808226.0	0.0	0.0	1113056.0	0.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L4-clmp.r1r2_fastp	3798114.0	0.0	0.0	1119662.0	0.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L5-clmp.r1r2_fastp	3786178.0	0.0	0.0	1104172.0	0.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L6-clmp.r1r2_fastp	3826648.0	0.0	0.0	1133450.0	0.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L7-clmp.r1r2_fastp	3799502.0	0.0	0.0	1115942.0	0.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L8-clmp.r1r2_fastp	3641270.0	0.0	0.0	1048960.0	0.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L3-clmp.r1r2_fastp	6822910.0	0.0	0.0	1325804.0	0.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L4-clmp.r1r2_fastp	6804054.0	0.0	0.0	1338464.0	0.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L5-clmp.r1r2_fastp	6796228.0	0.0	0.0	1321528.0	0.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L6-clmp.r1r2_fastp	6871144.0	0.0	0.0	1354064.0	0.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L7-clmp.r1r2_fastp	6831488.0	0.0	0.0	1335776.0	0.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L8-clmp.r1r2_fastp	6570492.0	0.0	0.0	1261326.0	0.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L3-clmp.r1r2_fastp	6341210.0	0.0	0.0	2187764.0	0.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L4-clmp.r1r2_fastp	6326376.0	0.0	0.0	2210738.0	0.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L5-clmp.r1r2_fastp	6293136.0	0.0	0.0	2173112.0	0.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L6-clmp.r1r2_fastp	6372918.0	0.0	0.0	2226996.0	0.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L7-clmp.r1r2_fastp	6319812.0	0.0	0.0	2200822.0	0.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L8-clmp.r1r2_fastp	6065730.0	0.0	0.0	2075008.0	0.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L3-clmp.r1r2_fastp	1901278.0	0.0	0.0	599164.0	0.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L4-clmp.r1r2_fastp	1892480.0	0.0	0.0	601384.0	0.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L5-clmp.r1r2_fastp	1888446.0	0.0	0.0	591798.0	0.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L6-clmp.r1r2_fastp	1900538.0	0.0	0.0	604040.0	0.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L7-clmp.r1r2_fastp	1880818.0	0.0	0.0	596998.0	0.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L8-clmp.r1r2_fastp	1800320.0	0.0	0.0	560608.0	0.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L3-clmp.r1r2_fastp	296494.0	0.0	0.0	92574.0	0.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L4-clmp.r1r2_fastp	294126.0	0.0	0.0	92782.0	0.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L5-clmp.r1r2_fastp	295130.0	0.0	0.0	92216.0	0.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L6-clmp.r1r2_fastp	296516.0	0.0	0.0	92496.0	0.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L7-clmp.r1r2_fastp	294620.0	0.0	0.0	91828.0	0.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L8-clmp.r1r2_fastp	275998.0	0.0	0.0	85122.0	0.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L3-clmp.r1r2_fastp	5414596.0	0.0	0.0	1713984.0	0.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L4-clmp.r1r2_fastp	5384954.0	0.0	0.0	1725484.0	0.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L5-clmp.r1r2_fastp	5378250.0	0.0	0.0	1700526.0	0.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L6-clmp.r1r2_fastp	5416356.0	0.0	0.0	1732500.0	0.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L7-clmp.r1r2_fastp	5371298.0	0.0	0.0	1709086.0	0.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L8-clmp.r1r2_fastp	5150430.0	0.0	0.0	1618524.0	0.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L3-clmp.r1r2_fastp	1943376.0	0.0	0.0	764950.0	0.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L4-clmp.r1r2_fastp	1932776.0	0.0	0.0	767446.0	0.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L5-clmp.r1r2_fastp	1934818.0	0.0	0.0	761654.0	0.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L6-clmp.r1r2_fastp	1942890.0	0.0	0.0	772108.0	0.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L7-clmp.r1r2_fastp	1932828.0	0.0	0.0	764892.0	0.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L8-clmp.r1r2_fastp	1860394.0	0.0	0.0	726352.0	0.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L3-clmp.r1r2_fastp	7617852.0	0.0	0.0	3118830.0	0.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L4-clmp.r1r2_fastp	7569988.0	0.0	0.0	3133862.0	0.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L5-clmp.r1r2_fastp	7561344.0	0.0	0.0	3095788.0	0.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L6-clmp.r1r2_fastp	7627524.0	0.0	0.0	3157436.0	0.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L7-clmp.r1r2_fastp	7567838.0	0.0	0.0	3121948.0	0.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L8-clmp.r1r2_fastp	7292530.0	0.0	0.0	2960756.0	0.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L3-clmp.r1r2_fastp	7539978.0	0.0	0.0	3137242.0	0.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L4-clmp.r1r2_fastp	7514814.0	0.0	0.0	3169426.0	0.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L5-clmp.r1r2_fastp	7499408.0	0.0	0.0	3120506.0	0.0
