Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L3-clmp.r1r2_fastp	36.9054	36.7506	36.7469	36.7567	36.7507	36.7606	36.7612	36.7634	36.7646	36.7637	36.7646	36.7655	36.762	36.7619	36.7622	36.7641	36.7626	36.7584	36.7582	36.7538	36.7571	36.7537	36.7388	36.7545	36.7507	36.7478	36.7485	36.751	36.7427	36.7456	36.741	36.7387	36.7399	36.7449	36.7438	36.7276	36.7369	36.7372	36.7389	36.7395	36.7376	36.7319	36.7293	36.7293	36.7256	36.7317	36.7344	36.731	36.7342	36.737	36.7286	36.7182	36.723	36.7329	36.729	36.7197	36.7185	36.7152	36.7032	36.6857	36.7105	36.7033	36.7007	36.6932	36.6989	36.6894	36.6814	36.6771	36.6743	36.6584	36.6543	36.6515	36.6471	36.6291	36.6362	36.6136	36.6082	36.5975	36.6007	36.5825	36.5723	36.5446	36.55	36.5343	36.5226	36.5035	36.5072	36.491	36.4855	36.4682	36.4665	36.4453	36.4292	36.4219	36.4157	36.4029	36.3875	36.3793	36.3642	36.3584	36.3416	36.3483	36.3286	36.3173	36.2957	36.302	36.2896	36.2642	36.2594	36.2615	36.2418	36.2296	36.2302	36.2226	36.2084	36.1809	36.1888	36.1674	36.2235	36.8502
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L4-clmp.r1r2_fastp	36.8982	36.7416	36.7462	36.746	36.7446	36.7496	36.7508	36.7487	36.7538	36.751	36.7513	36.7515	36.7498	36.7498	36.7365	36.7488	36.7439	36.7478	36.7439	36.7396	36.7447	36.7413	36.7378	36.7372	36.7398	36.7368	36.7399	36.7382	36.7295	36.729	36.7252	36.7319	36.7288	36.7276	36.7254	36.7259	36.7219	36.7229	36.7224	36.7231	36.7207	36.7174	36.7188	36.715	36.7164	36.7154	36.719	36.7134	36.7168	36.7237	36.7136	36.7023	36.7116	36.7153	36.7103	36.7123	36.7063	36.6971	36.686	36.6961	36.6957	36.682	36.6834	36.6819	36.6756	36.6776	36.6638	36.6561	36.6494	36.6405	36.6303	36.6334	36.6224	36.6087	36.6104	36.5836	36.5851	36.5634	36.5366	36.5524	36.5445	36.5403	36.5211	36.5075	36.4947	36.4827	36.4831	36.4546	36.468	36.4312	36.4374	36.4266	36.4176	36.3948	36.3885	36.3883	36.3759	36.364	36.3416	36.3351	36.3225	36.3335	36.3014	36.294	36.2728	36.2791	36.2538	36.2555	36.2282	36.2532	36.2383	36.2107	36.2131	36.1837	36.2006	36.1814	36.1699	36.1623	36.2223	36.8493
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L5-clmp.r1r2_fastp	36.8976	36.7461	36.7443	36.7479	36.7465	36.7475	36.7505	36.7458	36.7557	36.7517	36.7549	36.7486	36.7493	36.7537	36.7471	36.7443	36.7449	36.7475	36.7431	36.7432	36.7424	36.7423	36.7238	36.7333	36.7427	36.7387	36.7367	36.7343	36.7292	36.7249	36.7273	36.7318	36.7211	36.7251	36.7259	36.7184	36.7232	36.7184	36.7198	36.7162	36.7125	36.7219	36.7156	36.7155	36.7113	36.7148	36.7122	36.7087	36.7141	36.7173	36.7082	36.7003	36.7038	36.7116	36.7021	36.7051	36.697	36.6902	36.6869	36.6883	36.6829	36.6736	36.6668	36.6704	36.6623	36.6558	36.6369	36.6425	36.6445	36.6296	36.6186	36.6248	36.6132	36.5668	36.5903	36.5784	36.5645	36.5667	36.5528	36.5481	36.5419	36.5154	36.5056	36.496	36.4888	36.4729	36.4564	36.4295	36.436	36.3759	36.3996	36.3812	36.3766	36.3661	36.3617	36.3594	36.3337	36.3291	36.3049	36.293	36.295	36.2808	36.2799	36.2446	36.2324	36.2356	36.202	36.2101	36.1924	36.18	36.1613	36.1546	36.1653	36.1324	36.1574	36.1119	36.0945	36.1148	36.1621	36.8518
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L6-clmp.r1r2_fastp	36.8982	36.7349	36.7356	36.7387	36.7329	36.7401	36.7439	36.7389	36.7405	36.7442	36.7428	36.732	36.74	36.7415	36.7372	36.7369	36.7282	36.7354	36.729	36.7303	36.7283	36.7275	36.7266	36.724	36.7262	36.7242	36.7257	36.7183	36.7168	36.7181	36.6979	36.7139	36.7171	36.7147	36.7154	36.7095	36.7012	36.6941	36.707	36.7023	36.7019	36.7027	36.6984	36.7021	36.6975	36.6975	36.7094	36.6996	36.705	36.7008	36.69	36.6815	36.6892	36.6969	36.6871	36.6859	36.6868	36.6799	36.6686	36.6724	36.6751	36.6593	36.657	36.6591	36.6609	36.6521	36.6156	36.6297	36.6188	36.6099	36.611	36.5951	36.588	36.5852	36.5774	36.5621	36.5531	36.538	36.5411	36.5258	36.5117	36.4913	36.4742	36.4717	36.4615	36.4364	36.4243	36.4046	36.4016	36.3842	36.3921	36.3643	36.339	36.3244	36.3309	36.3216	36.2485	36.277	36.2703	36.2495	36.2529	36.2323	36.202	36.2048	36.2013	36.176	36.1562	36.1611	36.1584	36.1603	36.1354	36.0841	36.1068	36.0889	36.1037	36.0873	36.0658	36.0669	36.1071	36.8635
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L7-clmp.r1r2_fastp	36.901	36.7321	36.7496	36.7483	36.7483	36.7476	36.7536	36.7529	36.7508	36.7525	36.7524	36.7499	36.7503	36.7545	36.7461	36.7421	36.7453	36.7429	36.7435	36.7382	36.7391	36.7409	36.7409	36.7393	36.7416	36.7416	36.7348	36.7339	36.7332	36.731	36.7305	36.7282	36.7274	36.7221	36.7189	36.7212	36.7166	36.7235	36.7223	36.7215	36.7119	36.7187	36.714	36.7159	36.7084	36.7129	36.7036	36.7148	36.7145	36.7168	36.7069	36.7003	36.7048	36.7098	36.7062	36.7081	36.7045	36.6923	36.6834	36.6933	36.6703	36.6875	36.6792	36.6697	36.6347	36.6639	36.6567	36.6443	36.6375	36.6275	36.6246	36.625	36.612	36.6013	36.5948	36.5798	36.5488	36.5585	36.5547	36.5324	36.5237	36.5174	36.4945	36.4901	36.4768	36.4758	36.4509	36.4363	36.4356	36.4143	36.3879	36.3844	36.3641	36.3562	36.3368	36.3394	36.3156	36.3126	36.2903	36.2899	36.2711	36.2483	36.2443	36.2351	36.2257	36.2215	36.1988	36.1917	36.1767	36.164	36.1534	36.1508	36.1534	36.1082	36.1019	36.0992	36.0943	36.0949	36.1311	36.8594
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L8-clmp.r1r2_fastp	36.9066	36.7629	36.7654	36.7663	36.7563	36.7635	36.7523	36.767	36.7647	36.7671	36.767	36.7621	36.767	36.7621	36.761	36.7569	36.7542	36.7605	36.751	36.7499	36.7511	36.7556	36.7524	36.749	36.7503	36.7467	36.7476	36.7447	36.7419	36.7357	36.7428	36.7346	36.7405	36.7223	36.7362	36.734	36.7306	36.7295	36.7293	36.7304	36.724	36.7238	36.7273	36.7249	36.7181	36.7224	36.7251	36.7205	36.721	36.727	36.7168	36.7085	36.7221	36.7208	36.6938	36.7124	36.7119	36.7023	36.6864	36.6942	36.7008	36.6912	36.6806	36.6826	36.6789	36.6681	36.6611	36.6585	36.6493	36.6343	36.6334	36.6244	36.6188	36.6148	36.5918	36.5777	36.5731	36.56	36.5577	36.5407	36.542	36.5167	36.4959	36.4891	36.4789	36.4722	36.4554	36.4267	36.4149	36.4206	36.4045	36.3828	36.3641	36.3488	36.3173	36.3376	36.3114	36.3189	36.2887	36.2756	36.2783	36.2269	36.2311	36.2265	36.2123	36.1953	36.1803	36.1792	36.155	36.1464	36.1409	36.1046	36.1214	36.0921	36.0877	36.0484	36.0334	36.0601	36.1097	36.8551
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L3-clmp.r1r2_fastp	36.8984	36.7468	36.7486	36.7569	36.75	36.7608	36.7634	36.7649	36.7649	36.762	36.7707	36.7658	36.7668	36.7638	36.7642	36.7678	36.7655	36.7635	36.7639	36.7574	36.7603	36.7575	36.7459	36.7571	36.7565	36.7528	36.7551	36.7565	36.7512	36.7499	36.7494	36.7441	36.7454	36.7493	36.7468	36.7349	36.7409	36.7451	36.7454	36.7429	36.7419	36.7388	36.736	36.7328	36.7306	36.732	36.7368	36.7305	36.7339	36.7337	36.7303	36.7187	36.7235	36.727	36.7265	36.7166	36.7166	36.714	36.6998	36.6846	36.7024	36.6938	36.6913	36.6833	36.6854	36.6756	36.667	36.6615	36.6594	36.6454	36.6374	36.6401	36.6305	36.611	36.618	36.6014	36.5935	36.5725	36.5762	36.5675	36.5494	36.5181	36.5223	36.5146	36.5043	36.4891	36.4761	36.4603	36.4624	36.4341	36.4387	36.4163	36.3977	36.3798	36.3872	36.3749	36.3605	36.3509	36.3339	36.3244	36.3101	36.3072	36.2989	36.2796	36.2651	36.2653	36.2611	36.2162	36.2274	36.2289	36.2174	36.1926	36.1932	36.1881	36.1795	36.1575	36.1441	36.1511	36.2058	36.8519
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L4-clmp.r1r2_fastp	36.8925	36.7368	36.7398	36.7442	36.7436	36.7463	36.751	36.7496	36.7544	36.7531	36.7512	36.7534	36.752	36.7542	36.7398	36.7532	36.7489	36.7506	36.7513	36.7452	36.7462	36.7416	36.7449	36.7408	36.7441	36.7426	36.7406	36.7402	36.7345	36.7365	36.7327	36.7345	36.7303	36.7302	36.7294	36.7278	36.725	36.7284	36.7297	36.7258	36.7218	36.7208	36.7211	36.721	36.7146	36.7186	36.7231	36.7148	36.7169	36.7216	36.7119	36.7021	36.7084	36.7114	36.7068	36.7043	36.6974	36.6907	36.6785	36.6871	36.6823	36.6769	36.6715	36.6738	36.6624	36.665	36.6481	36.6409	36.6347	36.6279	36.6132	36.6173	36.612	36.5909	36.5904	36.5664	36.5652	36.5458	36.5138	36.5322	36.5226	36.5053	36.4945	36.4835	36.4708	36.4602	36.4509	36.4295	36.4375	36.4112	36.4078	36.3865	36.3823	36.3663	36.3617	36.3571	36.3479	36.3352	36.3134	36.3164	36.2955	36.2964	36.2743	36.2544	36.244	36.2404	36.2219	36.2159	36.2061	36.1982	36.2018	36.1644	36.1709	36.1514	36.1594	36.1451	36.1349	36.1282	36.1819	36.8422
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L5-clmp.r1r2_fastp	36.8918	36.7413	36.742	36.7427	36.7467	36.7472	36.7499	36.748	36.7576	36.752	36.7532	36.749	36.754	36.7547	36.7515	36.7494	36.7478	36.7506	36.7417	36.7451	36.7451	36.7486	36.7329	36.737	36.7472	36.7456	36.7407	36.7345	36.734	36.7344	36.732	36.7351	36.7251	36.7296	36.7291	36.7234	36.7221	36.7234	36.725	36.7243	36.7144	36.7228	36.7171	36.7199	36.7127	36.7155	36.713	36.7101	36.7108	36.7186	36.7076	36.6981	36.7051	36.7102	36.6977	36.7019	36.6929	36.6842	36.679	36.6811	36.6759	36.6709	36.6605	36.6608	36.6565	36.6463	36.628	36.6323	36.6341	36.6197	36.6062	36.6034	36.5937	36.5481	36.5743	36.5604	36.5401	36.5392	36.5359	36.5207	36.5128	36.4898	36.4824	36.4723	36.4596	36.4426	36.4235	36.4013	36.4008	36.3473	36.3707	36.3438	36.34	36.3226	36.3297	36.325	36.2971	36.2953	36.2707	36.2561	36.2563	36.2427	36.2421	36.1985	36.184	36.2034	36.172	36.1619	36.1551	36.1452	36.1373	36.1159	36.1242	36.1059	36.1143	36.0766	36.0752	36.0726	36.1268	36.8542
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L6-clmp.r1r2_fastp	36.8911	36.7287	36.7327	36.7367	36.7308	36.7365	36.7414	36.7386	36.7405	36.742	36.7432	36.7349	36.7413	36.7403	36.7426	36.737	36.7327	36.7389	36.7347	36.7318	36.7312	36.732	36.7328	36.7343	36.732	36.7283	36.7313	36.7284	36.7248	36.7251	36.7094	36.7239	36.7194	36.7171	36.7135	36.7133	36.7104	36.701	36.712	36.7073	36.7043	36.7007	36.702	36.7048	36.6989	36.6988	36.713	36.7001	36.7015	36.6964	36.6912	36.6812	36.6873	36.6904	36.683	36.681	36.6773	36.6693	36.6604	36.665	36.6651	36.65	36.646	36.6465	36.6471	36.6421	36.6073	36.615	36.5996	36.5903	36.5974	36.5842	36.5761	36.5648	36.5572	36.5434	36.5293	36.5164	36.5092	36.4999	36.4847	36.4654	36.4485	36.4385	36.4266	36.4073	36.3946	36.3768	36.3667	36.3518	36.3485	36.3165	36.2974	36.2871	36.2988	36.281	36.2177	36.2417	36.2259	36.2187	36.206	36.1925	36.177	36.1679	36.1697	36.1384	36.127	36.1101	36.1119	36.1114	36.0922	36.0611	36.0665	36.0511	36.0615	36.0492	36.0285	36.0294	36.0762	36.86
