Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Tzo-ABol_002-Ex1-2A-lcwgs-1-1.clmp.r1r2_fastp	30.9647	31.169	34.6707	35.4385	35.759	39.0347	39.2244	39.285	39.255	39.3304	39.3337	39.3492	39.2838	39.2699	39.2543	39.2075	39.247	39.1595	39.2249	39.2381	39.159	39.1527	39.115	39.1492	39.1383	39.138	39.1126	39.0874	38.9925	39.0419	39.0115	39.0279	38.9733	38.9531	38.93	38.8873	38.8856	38.8109	38.8037	38.8709	38.8202	38.8092	38.7748	38.7204	38.7288	38.6504	38.6784	38.6656	38.5694	38.6113	38.4854	38.4843	38.5281	38.4807	38.5247	38.5447	38.4525	38.3604	38.3258	38.3506	38.3013	38.2578	38.2176	38.2554	38.2061	38.1701	38.1237	38.1304	38.0222	38.0461	37.9784	37.9622	37.9168	37.9006	37.8291	36.991	37.7103	37.9443	38.0793	38.1846	38.1389	38.139	38.0785	38.0813	37.9733	37.8822	37.8549	37.8435	37.8006	37.7973	37.683	37.6142	37.5944	37.5474	37.4825	37.4769	37.3129	37.3009	37.2601	37.2446	37.1296	37.0079	36.9812	36.949	36.8003	36.6994	36.7894	36.6906	36.6851	36.5019	36.4541	36.3795	36.3032	36.2065	36.1526	36.0243	36.0292	35.9889	35.9194	35.7694	35.596	35.3713	35.3161	35.231	35.0906	35.0534	35.0095	34.7928	34.7573	34.6036	34.4806	34.2656	34.1317	33.899	33.7087	33.4234	33.2371	32.8642	32.5892	32.2601	32.0046	31.6175	31.3702	31.0124	30.7336	30.3634	29.9426	29.886	30.3254	33.0193
Tzo-ABol_003-Ex1-3A-lcwgs-1-1.clmp.r1r2_fastp	30.9159	31.0984	34.6731	35.3463	35.6885	38.9349	39.141	39.1989	39.1808	39.2446	39.2371	39.2491	39.1885	39.1623	39.1467	39.1028	39.144	39.041	39.1025	39.1171	39.0376	39.0499	39.0146	39.0323	39.0426	39.0113	38.9862	38.9743	38.8667	38.9233	38.8988	38.8925	38.8634	38.8286	38.8218	38.7704	38.7761	38.6878	38.6825	38.7551	38.7024	38.6578	38.6427	38.5937	38.5944	38.5391	38.5441	38.5335	38.4389	38.4791	38.3559	38.3503	38.3946	38.3519	38.3858	38.4096	38.3172	38.2145	38.1884	38.2255	38.1645	38.1072	38.0671	38.1325	38.0538	38.0035	37.9648	37.9642	37.872	37.9066	37.8291	37.8032	37.7625	37.7496	37.6752	36.8295	37.5412	37.8128	37.9513	38.053	37.9891	37.9868	37.9211	37.9105	37.8261	37.732	37.687	37.6776	37.6439	37.6434	37.5018	37.4492	37.4331	37.3896	37.3256	37.3182	37.1602	37.1343	37.0893	37.0805	36.9618	36.8296	36.8124	36.7572	36.6689	36.5375	36.5987	36.5116	36.5077	36.318	36.2735	36.207	36.1401	36.0274	35.9526	35.8695	35.8332	35.804	35.7298	35.566	35.4122	35.1858	35.1198	35.0777	34.9234	34.9029	34.8688	34.6572	34.6071	34.4377	34.3352	34.1669	33.9642	33.7355	33.5567	33.2891	33.1146	32.7131	32.361	32.0966	31.8598	31.5777	31.3259	30.947	30.6617	30.2707	29.8069	29.7315	30.1924	32.8641
Tzo-ABol_008-Ex1-8A-lcwgs-1-1.clmp.r1r2_fastp	30.8852	31.129	34.598	35.3205	35.6523	38.8643	39.0607	39.1191	39.093	39.1677	39.1672	39.1822	39.1228	39.0893	39.0817	39.0375	39.074	38.9807	39.0398	39.0519	38.9608	38.9695	38.9242	38.9568	38.9692	38.9606	38.9209	38.8952	38.8046	38.8481	38.8169	38.8267	38.7778	38.7483	38.7389	38.6889	38.691	38.5951	38.6009	38.6916	38.6155	38.597	38.5595	38.5085	38.5129	38.4443	38.47	38.4475	38.3543	38.3976	38.2669	38.2714	38.3046	38.2713	38.2968	38.32	38.2336	38.1402	38.0978	38.128	38.091	38.0345	37.9955	38.0356	37.9744	37.922	37.8783	37.898	37.7911	37.8202	37.7549	37.7264	37.6816	37.6575	37.5999	36.7462	37.4663	37.7432	37.8703	37.9771	37.93	37.9292	37.8576	37.862	37.7614	37.6763	37.6316	37.6225	37.5846	37.5838	37.4404	37.3805	37.3623	37.3261	37.2524	37.2431	37.0795	37.0596	37.0171	37.0047	36.8853	36.755	36.7342	36.6938	36.5733	36.4702	36.5262	36.4394	36.4291	36.2532	36.1943	36.1169	36.0615	35.9372	35.8864	35.7787	35.7877	35.7458	35.6556	35.4948	35.3648	35.1401	35.0605	34.9968	34.8726	34.8116	34.7469	34.5525	34.4798	34.3304	34.2549	34.0639	33.8674	33.665	33.5088	33.2341	33.0305	32.6818	32.345	32.1018	31.8313	31.4845	31.238	30.8787	30.6091	30.264	29.8098	29.7803	30.26	32.9323
Tzo-ABol_009-Ex1-9A-lcwgs-1-1.clmp.r1r2_fastp	30.8472	31.0978	34.5302	35.2479	35.5961	38.7719	38.9805	39.0375	39.0049	39.0736	39.0735	39.0792	39.0282	38.9803	38.9798	38.9341	38.967	38.8698	38.9194	38.937	38.8556	38.855	38.8204	38.8392	38.8468	38.8301	38.7962	38.7796	38.684	38.7296	38.699	38.7036	38.6626	38.6234	38.6125	38.5669	38.568	38.4713	38.4811	38.5642	38.4978	38.4653	38.4408	38.3789	38.3932	38.3205	38.3366	38.3196	38.2339	38.2665	38.1506	38.1415	38.1814	38.1394	38.1896	38.2063	38.1091	38.0212	37.9842	38.0178	37.9679	37.92	37.8657	37.9253	37.8579	37.8059	37.7685	37.787	37.6768	37.7133	37.6486	37.6276	37.5881	37.5663	37.5081	36.6751	37.3861	37.6642	37.8003	37.9123	37.8734	37.8666	37.7938	37.7913	37.7055	37.6062	37.5758	37.5696	37.5334	37.5324	37.3975	37.3463	37.3383	37.2989	37.2459	37.2234	37.0662	37.0459	37.0037	36.9966	36.8842	36.7634	36.7293	36.6945	36.5865	36.4847	36.5364	36.464	36.4667	36.283	36.225	36.143	36.0894	35.9792	35.9241	35.831	35.8449	35.7904	35.7119	35.5649	35.4388	35.2196	35.1713	35.0873	34.9475	34.9185	34.8704	34.6528	34.6025	34.4689	34.3517	34.1728	34.0211	33.8155	33.6453	33.3858	33.1862	32.8095	32.4651	32.2215	31.9977	31.6182	31.3927	31.0446	30.776	30.4071	29.8995	29.9139	30.3182	32.9708
Tzo-ABol_010-Ex1-10A-lcwgs-1-1.clmp.r1r2_fastp	30.93	31.1552	34.7014	35.3944	35.6878	38.9611	39.1817	39.2291	39.1949	39.2607	39.2681	39.2692	39.2035	39.1824	39.1656	39.1263	39.1583	39.0557	39.1212	39.141	39.0506	39.0541	39.0114	39.0473	39.0455	39.044	39.0082	38.9743	38.8897	38.9286	38.9018	38.9206	38.8649	38.8401	38.8253	38.7769	38.7859	38.691	38.6964	38.7737	38.7116	38.6835	38.6532	38.6044	38.605	38.5366	38.5671	38.5461	38.4608	38.4898	38.3723	38.3718	38.4085	38.3714	38.4076	38.4252	38.3394	38.2432	38.2113	38.2382	38.1957	38.1461	38.097	38.1479	38.0794	38.0329	37.9901	38.0103	37.9094	37.9391	37.8633	37.8431	37.7947	37.774	37.7204	36.8683	37.5881	37.8488	37.9841	38.0912	38.043	38.0378	37.9662	37.9658	37.872	37.779	37.7469	37.7403	37.6988	37.7004	37.5575	37.5121	37.4984	37.4626	37.392	37.3839	37.2171	37.2055	37.1532	37.154	37.038	36.9275	36.882	36.8451	36.7306	36.6371	36.6846	36.5962	36.596	36.4044	36.3541	36.28	36.2145	36.1031	36.0472	35.9426	35.9348	35.8911	35.811	35.6659	35.5371	35.3102	35.2409	35.1579	35.0246	34.9789	34.9332	34.7072	34.6476	34.504	34.3679	34.1891	33.986	33.7918	33.6082	33.3402	33.1248	32.7736	32.3905	32.1282	31.8931	31.5437	31.3429	30.9305	30.6567	30.3361	29.8772	29.8365	30.2924	32.9514
Tzo-ABol_011-Ex1-11A-lcwgs-1-1.clmp.r1r2_fastp	30.6612	30.8065	34.0351	34.7701	35.2593	38.202	38.5058	38.5165	38.5665	38.6588	38.5335	38.4702	38.4944	38.4276	38.4242	38.4237	38.4368	38.3233	38.3959	38.4158	38.3285	38.2587	38.2793	38.3474	38.3665	38.296	38.309	38.2423	38.1713	38.202	38.1171	38.1758	38.1709	38.057	38.0862	37.9005	37.9626	37.9278	37.9456	37.955	37.9178	37.8827	37.7734	37.7529	37.8677	37.697	37.7177	37.649	37.5788	37.6184	37.4891	37.5624	37.5238	37.5108	37.6138	37.5157	37.3821	37.2466	37.1684	37.3355	37.3106	37.258	37.1515	37.1434	37.1862	37.0727	37.0149	36.9423	36.8793	36.8333	36.7104	36.7846	36.6459	36.646	36.6899	35.756	36.515	36.8379	36.9251	36.9564	36.9796	36.9913	36.8488	37.0023	36.6459	36.6091	36.6404	36.5446	36.6063	36.7232	36.5234	36.428	36.3839	36.3072	36.2403	36.2049	35.9564	36.1164	35.9642	35.9423	35.8049	35.4896	35.6107	35.5278	35.362	35.3272	35.3764	35.2458	35.1512	34.949	34.909	34.8149	34.6544	34.5974	34.5619	34.4737	34.5957	34.4335	34.3002	34.1803	33.9096	33.5083	33.6304	33.5072	33.4016	33.283	33.4188	33.2578	33.0926	33.0596	32.8377	32.5286	32.3258	32.0246	31.7764	31.7397	31.3921	31.0672	30.6385	30.3278	29.9444	29.8514	29.5032	29.3219	29.1296	29.0586	28.6672	28.6372	29.2901	32.1441
Tzo-ABol_012-Ex1-12A-lcwgs-1-1.clmp.r1r2_fastp	30.9646	31.1886	34.6695	35.4406	35.768	39.0328	39.2544	39.3005	39.2804	39.3411	39.35	39.3525	39.2991	39.277	39.267	39.2216	39.2566	39.1644	39.2126	39.2376	39.15	39.1505	39.1147	39.1371	39.1528	39.1434	39.1109	39.0828	38.9938	39.0251	39.0077	39.0191	38.9777	38.9406	38.9328	38.8791	38.8862	38.8065	38.8078	38.8773	38.8068	38.782	38.7639	38.7053	38.7098	38.6375	38.6549	38.6538	38.5685	38.608	38.4812	38.4703	38.5021	38.4746	38.5039	38.5117	38.427	38.3425	38.2999	38.3273	38.2863	38.2335	38.1858	38.2311	38.1689	38.1187	38.0827	38.1034	37.992	38.0355	37.951	37.9222	37.8893	37.8607	37.7957	36.9543	37.6619	37.9237	38.0503	38.1423	38.0979	38.1016	38.025	38.0381	37.9215	37.8447	37.8099	37.8183	37.7618	37.7641	37.6298	37.5704	37.5496	37.5051	37.4384	37.4262	37.2616	37.2274	37.1855	37.1965	37.0751	36.9684	36.9145	36.9047	36.7498	36.664	36.6902	36.6284	36.6155	36.4204	36.3591	36.292	36.2315	36.1192	36.0434	35.9343	35.9587	35.8879	35.8304	35.6863	35.5267	35.2707	35.2127	35.1249	34.998	34.9432	34.9083	34.6673	34.6326	34.4652	34.3276	34.2034	34.0326	33.8093	33.6354	33.3422	33.1056	32.7464	32.4587	32.1297	31.9026	31.5587	31.3577	30.9528	30.6808	30.3689	29.865	29.8522	30.439	32.9952
Tzo-ABol_020-Ex1-8B-lcwgs-1-1.clmp.r1r2_fastp	30.9189	31.1743	34.7009	35.3985	35.7112	38.9529	39.1537	39.2074	39.1885	39.2558	39.2515	39.2685	39.214	39.1811	39.1712	39.1257	39.168	39.0627	39.1176	39.1344	39.0455	39.0538	39.0168	39.0414	39.043	39.0348	39.0037	38.9801	38.8868	38.9295	38.9013	38.9093	38.8673	38.8285	38.8226	38.7792	38.778	38.6901	38.6919	38.7667	38.7094	38.6809	38.6532	38.5991	38.6054	38.5313	38.5596	38.5427	38.45	38.4874	38.3553	38.3636	38.4	38.3597	38.3978	38.411	38.3222	38.2283	38.19	38.2212	38.1803	38.1323	38.0803	38.128	38.0623	38.0079	37.9703	37.984	37.8691	37.8993	37.8309	37.8078	37.7638	37.7412	37.674	36.8106	37.5266	37.7992	37.9212	38.017	37.9729	37.9687	37.8856	37.8778	37.786	37.6874	37.6414	37.6345	37.5999	37.5951	37.4466	37.3938	37.3703	37.3278	37.2697	37.2444	37.0844	37.0542	37.0107	37.0036	36.8865	36.754	36.7197	36.6796	36.5557	36.456	36.4946	36.4205	36.4012	36.2118	36.1483	36.0685	35.9977	35.8847	35.8178	35.7167	35.7339	35.6815	35.5958	35.4342	35.2965	35.0672	35.0008	34.9207	34.7722	34.7266	34.6816	34.4639	34.3949	34.2472	34.1289	33.9554	33.7814	33.5823	33.4124	33.139	32.947	32.5781	32.1986	31.9767	31.7469	31.3708	31.1564	30.8206	30.5428	30.2088	29.7529	29.7659	30.2652	32.9364
Tzo-ABol_023-Ex1-11B-lcwgs-1-1.clmp.r1r2_fastp	30.9318	31.1629	34.7413	35.4094	35.7262	38.9873	39.1879	39.2449	39.2119	39.2758	39.2662	39.2711	39.2251	39.1929	39.1855	39.141	39.1882	39.0848	39.1428	39.1579	39.0676	39.0737	39.039	39.0592	39.0666	39.0555	39.016	38.9965	38.9133	38.9501	38.9192	38.9349	38.89	38.8557	38.8507	38.7987	38.8023	38.7109	38.7125	38.7919	38.7268	38.7051	38.6705	38.6189	38.6264	38.5527	38.5773	38.5566	38.4673	38.5042	38.3801	38.3792	38.4093	38.3763	38.406	38.4237	38.3328	38.2375	38.205	38.2343	38.1939	38.139	38.0868	38.138	38.0711	38.0184	37.9793	37.9952	37.8873	37.9219	37.8475	37.8256	37.7774	37.7505	37.6823	36.8332	37.5372	37.8077	37.9306	38.0327	37.9835	37.9732	37.8986	37.8951	37.7962	37.7047	37.6593	37.6548	37.6118	37.6153	37.4682	37.4143	37.3916	37.346	37.2766	37.2603	37.1	37.0719	37.0248	37.0165	36.8962	36.7663	36.7304	36.697	36.5749	36.4768	36.5234	36.4376	36.4274	36.2409	36.1945	36.1097	36.0428	35.9261	35.8679	35.7696	35.756	35.7258	35.6453	35.493	35.3523	35.1331	35.0751	34.9974	34.8535	34.8204	34.7592	34.5595	34.4918	34.3565	34.2443	34.0834	33.9198	33.7048	33.527	33.2678	33.0773	32.7119	32.3832	32.1202	31.8847	31.541	31.314	30.9875	30.7145	30.4129	29.9478	29.9435	30.4218	33.0364
Tzo-ABol_024-Ex1-12B-lcwgs-1-1.clmp.r1r2_fastp	30.627	30.8248	33.9214	34.8556	35.1696	38.2864	38.5545	38.6054	38.512	38.6301	38.6498	38.6637	38.5634	38.6065	38.5519	38.5316	38.5589	38.3501	38.4725	38.4236	38.2928	38.2798	38.3361	38.3492	38.3705	38.3957	38.3162	38.3313	38.2124	38.2361	38.2204	38.1797	38.2231	38.1399	38.2028	38.1137	38.1319	37.9982	38.0459	38.0391	37.9842	37.9474	37.9343	37.8477	37.8682	37.8079	37.8442	37.7541	37.6988	37.7209	37.5816	37.6306	37.5944	37.5628	37.5687	37.6653	37.5336	37.3299	37.3453	37.3517	37.3947	37.3352	37.1623	37.2491	37.1931	37.1039	37.0519	37.027	37.0113	37.0196	36.9142	36.824	36.7883	36.7752	36.7198	35.7757	36.5537	36.9341	37.0251	37.1017	37.1509	37.1197	37.093	37.011	36.8203	36.7429	36.7111	36.7248	36.6639	36.7095	36.4042	36.276	36.3226	36.1976	36.2326	36.2135	35.9796	35.8927	35.7535	35.7313	35.6678	35.6139	35.4434	35.5323	35.469	35.3573	35.255	35.1237	35.2569	35.0422	34.9685	34.9212	34.6961	34.6402	34.3791	34.3502	34.3246	34.238	34.1553	33.9484	33.8277	33.8211	33.6299	33.4019	33.1353	33.3474	33.1263	32.9645	32.8864	32.9457	32.5956	32.5338	32.4289	32.0048	31.9243	31.5753	31.3599	31.2202	30.4592	30.247	29.7731	29.9057	29.4797	29.0902	29.033	28.8286	28.581	28.3999	29.3191	32.1121
