Sample	Protists_1k	Human	Bacteria_24k	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L3-clmp.fp2_r1_screen	14080.0	1548.0	5162.0	1279.0	738.0	188.0	181.0	44.0	0.0	0.0	41711.0	1839182.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L3-clmp.fp2_r2_screen	13749.0	1597.0	5067.0	1180.0	744.0	201.0	210.0	54.0	2.0	0.0	42698.0	1838611.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L4-clmp.fp2_r1_screen	13854.0	1546.0	5248.0	1176.0	720.0	209.0	165.0	56.0	0.0	0.0	41215.0	1834868.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L4-clmp.fp2_r2_screen	13994.0	1576.0	5280.0	1183.0	722.0	230.0	184.0	51.0	1.0	0.0	41727.0	1834109.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L5-clmp.fp2_r1_screen	13896.0	1607.0	5131.0	1168.0	735.0	194.0	166.0	45.0	2.0	0.0	40854.0	1829291.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L5-clmp.fp2_r2_screen	13968.0	1612.0	5123.0	1205.0	734.0	211.0	184.0	60.0	1.0	0.0	42025.0	1827966.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L6-clmp.fp2_r1_screen	14042.0	1615.0	5175.0	1240.0	741.0	220.0	191.0	56.0	1.0	0.0	41964.0	1848079.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L6-clmp.fp2_r2_screen	14101.0	1595.0	5290.0	1154.0	751.0	200.0	174.0	50.0	0.0	0.0	42695.0	1847314.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L7-clmp.fp2_r1_screen	13880.0	1503.0	5337.0	1208.0	749.0	209.0	167.0	45.0	2.0	0.0	41492.0	1835159.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L7-clmp.fp2_r2_screen	14306.0	1560.0	5289.0	1196.0	714.0	232.0	194.0	46.0	1.0	0.0	42384.0	1833829.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L8-clmp.fp2_r1_screen	13517.0	1600.0	5009.0	1164.0	691.0	210.0	163.0	48.0	3.0	0.0	39861.0	1758369.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L8-clmp.fp2_r2_screen	13596.0	1489.0	5007.0	1167.0	739.0	215.0	166.0	49.0	1.0	0.0	40565.0	1757641.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L3-clmp.fp2_r1_screen	20676.0	2404.0	6077.0	1726.0	1240.0	292.0	213.0	60.0	1.0	0.0	75796.0	3302970.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L3-clmp.fp2_r2_screen	20970.0	2474.0	6137.0	1702.0	1267.0	252.0	225.0	94.0	1.0	0.0	76727.0	3301606.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L4-clmp.fp2_r1_screen	20884.0	2494.0	5883.0	1723.0	1242.0	260.0	239.0	75.0	0.0	0.0	75045.0	3294182.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L4-clmp.fp2_r2_screen	21001.0	2388.0	5951.0	1674.0	1276.0	250.0	217.0	74.0	0.0	0.0	76034.0	3293162.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L5-clmp.fp2_r1_screen	20931.0	2446.0	5733.0	1720.0	1180.0	254.0	231.0	82.0	3.0	0.0	75141.0	3290393.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L5-clmp.fp2_r2_screen	21005.0	2464.0	5764.0	1726.0	1255.0	226.0	216.0	78.0	1.0	0.0	76345.0	3289034.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L6-clmp.fp2_r1_screen	21080.0	2514.0	6063.0	1834.0	1246.0	289.0	236.0	95.0	4.0	0.0	75891.0	3326320.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L6-clmp.fp2_r2_screen	21262.0	2442.0	5967.0	1727.0	1275.0	259.0	225.0	64.0	2.0	0.0	77059.0	3325290.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L7-clmp.fp2_r1_screen	20985.0	2513.0	5957.0	1824.0	1269.0	248.0	241.0	82.0	1.0	0.0	75501.0	3307123.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L7-clmp.fp2_r2_screen	21143.0	2383.0	5878.0	1727.0	1232.0	252.0	229.0	80.0	1.0	0.0	76721.0	3306098.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L8-clmp.fp2_r1_screen	20270.0	2356.0	5671.0	1726.0	1246.0	239.0	185.0	81.0	0.0	0.0	73026.0	3180446.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L8-clmp.fp2_r2_screen	20376.0	2425.0	5570.0	1633.0	1175.0	258.0	255.0	67.0	1.0	0.0	74025.0	3179461.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L3-clmp.fp2_r1_screen	19978.0	2146.0	3091.0	1607.0	1069.0	297.0	245.0	71.0	1.0	0.0	58687.0	3083413.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L3-clmp.fp2_r2_screen	20032.0	2127.0	3059.0	1691.0	1048.0	291.0	222.0	63.0	0.0	0.0	59610.0	3082462.0
