Sequence_Name	Extraction_ID
TzA0200808A	Tzo-ABol_008-Ex1-8A-lcwgs-1-2
TzA0200909A	Tzo-ABol_009-Ex1-9A-lcwgs-1-2
TzA0201010A	Tzo-ABol_010-Ex1-10A-lcwgs-1-2
TzA0202008B	Tzo-ABol_020-Ex1-8B-lcwgs-1-2
TzA0202311B	Tzo-ABol_023-Ex1-11B-lcwgs-1-2
TzA0202602C	Tzo-ABol_026-Ex1-2C-lcwgs-1-2
TzA0203006C	Tzo-ABol_030-Ex1-6C-lcwgs-1-2
TzA0203410C	Tzo-ABol_034-Ex1-10C-lcwgs-1-2
TzA0203612C	Tzo-ABol_036-Ex1-12C-lcwgs-1-2
TzA0203802D	Tzo-ABol_038-Ex1-2D-lcwgs-1-2
TzA0204307D	Tzo-ABol_043-Ex1-7D-lcwgs-1-2
TzA0204408D	Tzo-ABol_044-Ex1-8D-lcwgs-1-2
TzA0204509D	Tzo-ABol_045-Ex1-9D-lcwgs-1-2
TzA0204711D	Tzo-ABol_047-Ex1-11D-lcwgs-1-2
TzA0205002E	Tzo-ABol_050-Ex1-2E-lcwgs-1-2
TzA0205204E	Tzo-ABol_052-Ex1-4E-lcwgs-1-2
TzA0205305E	Tzo-ABol_053-Ex1-5E-lcwgs-1-2
TzA0205406E	Tzo-ABol_054-Ex1-6E-lcwgs-1-2
TzA0205507E	Tzo-ABol_055-Ex1-7E-lcwgs-1-2
TzA0205608E	Tzo-ABol_056-Ex1-8E-lcwgs-1-2
TzA0205709E	Tzo-ABol_057-Ex1-9E-lcwgs-1-2
TzA0205810E	Tzo-ABol_058-Ex1-10E-lcwgs-1-2
TzA0205911E	Tzo-ABol_059-Ex1-11E-lcwgs-1-2
TzA0206012E	Tzo-ABol_060-Ex1-12E-lcwgs-1-2
TzA0206101F	Tzo-ABol_061-Ex1-1F-lcwgs-1-2
TzA0206202F	Tzo-ABol_062-Ex1-2F-lcwgs-1-2
TzA0206505F	Tzo-ABol_065-Ex1-5F-lcwgs-1-2
TzA0206606F	Tzo-ABol_066-Ex1-6F-lcwgs-1-2
TzA0206707F	Tzo-ABol_067-Ex1-7F-lcwgs-1-2
TzA0206808F	Tzo-ABol_068-Ex1-8F-lcwgs-1-2
TzA0206909F	Tzo-ABol_069-Ex1-9F-lcwgs-1-2
TzA0207212F	Tzo-ABol_072-Ex1-12F-lcwgs-1-2
TzA0207301G	Tzo-ABol_073-Ex1-1G-lcwgs-1-2
TzA0207503G	Tzo-ABol_075-Ex1-3G-lcwgs-1-2
TzA0207604G	Tzo-ABol_076-Ex1-4G-lcwgs-1-2
TzA0207705G	Tzo-ABol_077-Ex1-5G-lcwgs-1-2
TzA0207806G	Tzo-ABol_078-Ex1-6G-lcwgs-1-2
TzA0207907G	Tzo-ABol_079-Ex1-7G-lcwgs-1-2
TzA0208008G	Tzo-ABol_080-Ex1-8G-lcwgs-1-2
TzA0208109G	Tzo-ABol_081-Ex1-9G-lcwgs-1-2
TzA0208210G	Tzo-ABol_082-Ex1-10G-lcwgs-1-2
TzA0208311G	Tzo-ABol_083-Ex1-11G-lcwgs-1-2
TzA0208412G	Tzo-ABol_084-Ex1-12G-lcwgs-1-2
TzA0208501H	Tzo-ABol_085-Ex1-1H-lcwgs-1-2
TzA0208602H	Tzo-ABol_086-Ex1-2H-lcwgs-1-2
TzA0208703H	Tzo-ABol_087-Ex1-3H-lcwgs-1-2
TzA0209107H	Tzo-ABol_091-Ex1-7H-lcwgs-1-2
TzA0209208H	Tzo-ABol_092-Ex1-8H-lcwgs-1-2
TzA0400105D	Tzo-AMta_001-Ex1-5D-lcwgs-1-2
TzA0400205E	Tzo-AMta_002-Ex1-5E-lcwgs-1-2
TzA0400305F	Tzo-AMta_003-Ex1-5F-lcwgs-1-2
TzA0400405G	Tzo-AMta_004-Ex1-5G-lcwgs-1-2
TzA0400505H	Tzo-AMta_005-Ex1-5H-lcwgs-1-2
TzA0400601B	Tzo-AMta_006-Ex1-1B-lcwgs-2-2
TzA0400606A	Tzo-AMta_006-Ex1-6A-lcwgs-1-2
TzA0400706B	Tzo-AMta_007-Ex1-6B-lcwgs-1-2
TzA0400806C	Tzo-AMta_008-Ex1-6C-lcwgs-1-2
TzA0400906D	Tzo-AMta_009-Ex1-6D-lcwgs-1-2
TzA0401006E	Tzo-AMta_010-Ex1-6E-lcwgs-1-2
TzA0401106F	Tzo-AMta_011-Ex1-6F-lcwgs-1-2
TzA0401206G	Tzo-AMta_012-Ex1-6G-lcwgs-1-2
TzA0401306H	Tzo-AMta_013-Ex1-6H-lcwgs-1-2
TzA0401407A	Tzo-AMta_014-Ex1-7A-lcwgs-1-2
TzA0401507B	Tzo-AMta_015-Ex1-7B-lcwgs-1-2
TzA0401607C	Tzo-AMta_016-Ex1-7C-lcwgs-1-2
TzA0401707D	Tzo-AMta_017-Ex1-7D-lcwgs-1-2
TzA0401807E	Tzo-AMta_018-Ex1-7E-lcwgs-1-2
TzA0401907F	Tzo-AMta_019-Ex1-7F-lcwgs-1-2
TzA0402007G	Tzo-AMta_020-Ex1-7G-lcwgs-1-2
TzA0402107H	Tzo-AMta_021-Ex1-7H-lcwgs-1-2
TzA0402208A	Tzo-AMta_022-Ex1-8A-lcwgs-1-2
TzA0402308B	Tzo-AMta_023-Ex1-8B-lcwgs-1-2
TzA0402408C	Tzo-AMta_024-Ex1-8C-lcwgs-1-2
TzA0402501E	Tzo-AMta_025-Ex1-1E-lcwgs-2-2
TzA0402508D	Tzo-AMta_025-Ex1-8D-lcwgs-1-2
TzA0402608E	Tzo-AMta_026-Ex1-8E-lcwgs-1-2
TzA0402701C	Tzo-AMta_027-Ex1-1C-lcwgs-2-2
TzA0402708F	Tzo-AMta_027-Ex1-8F-lcwgs-1-2
TzA0402808G	Tzo-AMta_028-Ex1-8G-lcwgs-1-2
TzA0402908H	Tzo-AMta_029-Ex1-8H-lcwgs-1-2
TzA0403009A	Tzo-AMta_030-Ex1-9A-lcwgs-1-2
TzA0403109B	Tzo-AMta_031-Ex1-9B-lcwgs-1-2
TzA0100101A	Tzo-AMvi_001-Ex1-1A-lcwgs-1-2
TzA0100201E	Tzo-AMvi_002-Ex1-1E-lcwgs-1-2
TzA0100302A	Tzo-AMvi_003-Ex1-2A-lcwgs-1-2
TzA0100402E	Tzo-AMvi_004-Ex1-2E-lcwgs-1-2
TzA0100503A	Tzo-AMvi_005-Ex1-3A-lcwgs-1-2
TzA0100601A	Tzo-AMvi_006-Ex1-1A-lcwgs-2-2
TzA0100704A	Tzo-AMvi_007-Ex1-4A-lcwgs-1-2
TzA0100801B	Tzo-AMvi_008-Ex1-1B-lcwgs-2-2
TzA0100905A	Tzo-AMvi_009-Ex1-5A-lcwgs-1-2
TzA0101005E	Tzo-AMvi_010-Ex1-5E-lcwgs-1-2
TzA0101106A	Tzo-AMvi_011-Ex1-6A-lcwgs-1-2
TzA0101206E	Tzo-AMvi_012-Ex1-6E-lcwgs-1-2
TzA0101301B	Tzo-AMvi_013-Ex1-1B-lcwgs-1-2
TzA0101401C	Tzo-AMvi_014-Ex1-1C-lcwgs-2-2
TzA0101502B	Tzo-AMvi_015-Ex1-2B-lcwgs-1-2
TzA0101602F	Tzo-AMvi_016-Ex1-2F-lcwgs-1-2
TzA0101703B	Tzo-AMvi_017-Ex1-3B-lcwgs-1-2
TzA0101803F	Tzo-AMvi_018-Ex1-3F-lcwgs-1-2
TzA0101901D	Tzo-AMvi_019-Ex1-1D-lcwgs-2-2
TzA0102004F	Tzo-AMvi_020-Ex1-4F-lcwgs-1-2
TzA0102101E	Tzo-AMvi_021-Ex1-1E-lcwgs-2-2
TzA0102205F	Tzo-AMvi_022-Ex1-5F-lcwgs-1-2
TzA0102306B	Tzo-AMvi_023-Ex1-6B-lcwgs-1-2
TzA0102406F	Tzo-AMvi_024-Ex1-6F-lcwgs-1-2
TzA0102501C	Tzo-AMvi_025-Ex1-1C-lcwgs-1-2
TzA0102601G	Tzo-AMvi_026-Ex1-1G-lcwgs-1-2
TzA0102702C	Tzo-AMvi_027-Ex1-2C-lcwgs-1-2
TzA0102802G	Tzo-AMvi_028-Ex1-2G-lcwgs-1-2
TzA0102903C	Tzo-AMvi_029-Ex1-3C-lcwgs-1-2
TzA0103003G	Tzo-AMvi_030-Ex1-3G-lcwgs-1-2
TzA0103104C	Tzo-AMvi_031-Ex1-4C-lcwgs-1-2
TzA0103204G	Tzo-AMvi_032-Ex1-4G-lcwgs-1-2
TzA0103305C	Tzo-AMvi_033-Ex1-5C-lcwgs-1-2
TzA0103405G	Tzo-AMvi_034-Ex1-5G-lcwgs-1-2
TzA0103506C	Tzo-AMvi_035-Ex1-6C-lcwgs-1-2
TzA0103606G	Tzo-AMvi_036-Ex1-6G-lcwgs-1-2
TzA0103701D	Tzo-AMvi_037-Ex1-1D-lcwgs-1-2
TzA0103801H	Tzo-AMvi_038-Ex1-1H-lcwgs-1-2
