readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	3521124	0	779790	2027776	0	0	77891	0
22CVWFLT3	0	490702	0	104786	273967	0	0	6372	0
22CVWFLT3-1954754D	0	502350	0	116632	281629	0	0	6370	0
22CVWFLT3-4BC07B22	0	479704	0	105872	268007	0	0	6208	0
22CVWFLT3-7FBD417A	0	496124	0	113876	277819	0	0	6476	0
22CVWFLT3-7FF5B27F	0	472180	0	104403	264001	0	0	6041	0
22CVWFLT3-FEBB013	0	501394	0	113009	279247	0	0	6372	0
HJCYVCCX2:1	0	578670	0	121212	383106	0	0	40052	0
