readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	4171362	0	907934	2260865	0	0	90657	0
22CVWFLT3	0	631536	0	130992	331355	0	0	10414	0
22CVWFLT3-5BD18B5A	0	644864	0	145079	338064	0	0	10254	0
22CVWFLT3-66452BE4	0	604258	0	128460	318002	0	0	9745	0
22CVWFLT3-6AF7D403	0	637198	0	139760	335217	0	0	10215	0
22CVWFLT3-71F43358	0	619462	0	130395	325537	0	0	9967	0
22CVWFLT3-72645504	0	641392	0	140321	338899	0	0	10375	0
HJCYVCCX2:1	0	392652	0	92927	273791	0	0	29687	0
