readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	3921446	0	536075	1978014	0	0	86054	0
22CVWFLT3	0	611022	0	78778	303336	0	0	10761	0
22CVWFLT3-1F9E8B04	0	598918	0	78692	297614	0	0	10667	0
22CVWFLT3-489224C	0	615222	0	83897	304557	0	0	10735	0
22CVWFLT3-5BD0614F	0	621682	0	85845	308476	0	0	10771	0
22CVWFLT3-651D1CA1	0	588972	0	76323	293952	0	0	10444	0
22CVWFLT3-7F5F07C5	0	620398	0	83630	308277	0	0	10787	0
HJCYVCCX2:1	0	265232	0	48910	161802	0	0	21889	0
