readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	10137450	0	900602	2294525	0	0	172139	0
22CVWFLT3	0	1685792	0	145466	377833	0	0	28280	0
22CVWFLT3-21B402E8	0	1607758	0	139536	359899	0	0	26768	0
22CVWFLT3-34F66B6B	0	1673654	0	145413	370087	0	0	27225	0
22CVWFLT3-38C4977B	0	1683960	0	151278	376045	0	0	27652	0
22CVWFLT3-41CE1804	0	1686902	0	150687	380992	0	0	28008	0
22CVWFLT3-55A08126	0	1704780	0	154670	382278	0	0	28056	0
HJCYVCCX2:1	0	94604	0	13552	47391	0	0	6150	0
