readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	6578148	0	1107877	2574235	0	0	445111	0
22CVWFLT3	0	1088872	0	178193	422056	0	0	73193	0
22CVWFLT3-3A30D9E1	0	1107676	0	188417	430155	0	0	74830	0
22CVWFLT3-4060CBA6	0	1093452	0	181152	418032	0	0	73713	0
22CVWFLT3-4CF49A88	0	1113056	0	192244	435496	0	0	74546	0
22CVWFLT3-5021D902	0	1097340	0	185507	431231	0	0	73801	0
22CVWFLT3-6A233FF2	0	1049598	0	177008	409126	0	0	70633	0
HJCYVCCX2:1	0	28154	0	5356	28139	0	0	4395	0
