readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	6400900	0	429985	1120362	0	0	100126	0
22CVWFLT3	0	1063318	0	69399	182497	0	0	16234	0
22CVWFLT3-3F98D22A	0	1065366	0	72466	183860	0	0	16104	0
22CVWFLT3-46AAEAAF	0	1013666	0	65615	174735	0	0	15392	0
22CVWFLT3-4B3C95C3	0	1063874	0	71309	184780	0	0	16339	0
22CVWFLT3-64A59D52	0	1062894	0	69394	180022	0	0	16016	0
22CVWFLT3-787B8A7D	0	1073462	0	74022	186367	0	0	16186	0
HJCYVCCX2:1	0	58320	0	7780	28101	0	0	3855	0
