readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	3675772	0	570085	2114707	0	0	68773	0
22CVWFLT3	0	557546	0	82198	313532	0	0	8072	0
22CVWFLT3-335CAD2E	0	564248	0	87833	317604	0	0	7784	0
22CVWFLT3-343DEC87	0	536884	0	78053	300347	0	0	7781	0
22CVWFLT3-50DCC17F	0	567754	0	88342	318848	0	0	8017	0
22CVWFLT3-7077EE9B	0	546410	0	81707	306792	0	0	7998	0
22CVWFLT3-7992D7CD	0	572330	0	89630	321476	0	0	8156	0
HJCYVCCX2:1	0	330600	0	62322	236108	0	0	20965	0
