readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	574058	0	0	0	604	0	0	0
22CVWFLT3	0	92281	0	0	0	82	0	0	0
22CVWFLT3-1320ADDD	0	92031	0	0	0	106	0	0	0
22CVWFLT3-1A7BCCC6	0	91697	0	0	0	107	0	0	0
22CVWFLT3-2EAF38B8	0	92454	0	0	0	91	0	0	0
22CVWFLT3-51B9965D	0	92079	0	0	0	99	0	0	0
22CVWFLT3-6CE5619A	0	88825	0	0	0	84	0	0	0
HJCYVCCX2:1	0	24691	0	0	0	35	0	0	0
