readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	365554	0	22845	89580	0	0	13150	0
22CVWFLT3	0	39352	0	581	4300	0	0	567	0
22CVWFLT3-21565CEE	0	38706	0	546	4498	0	0	498	0
22CVWFLT3-3694C8C	0	38838	0	605	4502	0	0	496	0
22CVWFLT3-584D9AB3	0	38836	0	577	4463	0	0	480	0
22CVWFLT3-63B6D330	0	37454	0	507	4006	0	0	525	0
22CVWFLT3-6BF18C83	0	39796	0	631	4441	0	0	477	0
HJCYVCCX2:1	0	132572	0	19398	63370	0	0	10107	0
