readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	4200574	0	240142	698885	0	0	87242	0
22CVWFLT3	0	687848	0	37866	109366	0	0	13641	0
22CVWFLT3-35ECBA45	0	687136	0	37229	106452	0	0	13151	0
22CVWFLT3-385CC371	0	655064	0	34984	104709	0	0	12894	0
22CVWFLT3-4578EE39	0	687124	0	38436	110030	0	0	13364	0
22CVWFLT3-75207417	0	690216	0	39383	109837	0	0	13230	0
22CVWFLT3-C4CAB88	0	687040	0	38359	109456	0	0	13306	0
HJCYVCCX2:1	0	106146	0	13885	49035	0	0	7656	0
