readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	41594902	0	10627634	6798418	0	0	913390	0
22CVWFLT3	0	6977294	0	1729893	1137924	0	0	153177	0
22CVWFLT3-1FF04A4B	0	6651854	0	1699074	1089970	0	0	146409	0
22CVWFLT3-3A6956E	0	6951810	0	1751264	1123326	0	0	152627	0
22CVWFLT3-46D3713F	0	6978408	0	1800260	1151173	0	0	154062	0
22CVWFLT3-4D606966	0	6979294	0	1805130	1138432	0	0	152392	0
22CVWFLT3-C6E6859	0	7053532	0	1841674	1156834	0	0	154536	0
HJCYVCCX2:1	0	2710	0	339	759	0	0	187	0
