readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	24379760	0	3767469	3049912	0	0	446236	0
22CVWFLT3	0	4890878	0	737313	609821	0	0	89850	0
22CVWFLT3-2DFC9BFF	0	99562	0	19751	15423	0	0	2695	0
22CVWFLT3-429E1F0B	0	4684212	0	718787	589279	0	0	86100	0
22CVWFLT3-6139922E	0	4876196	0	742333	600271	0	0	88532	0
22CVWFLT3-6F98026	0	4901394	0	765499	613792	0	0	89477	0
22CVWFLT3-7FFC7119	0	4923144	0	783322	619818	0	0	89285	0
HJCYVCCX2:1	0	4374	0	464	1508	0	0	297	0
