readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	3588706	0	247063	692327	0	0	92390	0
22CVWFLT3	0	546736	0	31596	87756	0	0	11126	0
22CVWFLT3-1B4F0716	0	545988	0	33487	88533	0	0	11382	0
22CVWFLT3-33BA5535	0	546762	0	33826	87471	0	0	11289	0
22CVWFLT3-364DBE9A	0	542520	0	32345	86809	0	0	11130	0
22CVWFLT3-3DC948BC	0	547436	0	34483	89058	0	0	11375	0
22CVWFLT3-71D81D66	0	518532	0	30578	82980	0	0	10727	0
HJCYVCCX2:1	0	340732	0	50748	169720	0	0	25361	0
