readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	7476220	0	839148	2673568	0	0	151996	0
22CVWFLT3	0	1220856	0	132077	428519	0	0	23530	0
22CVWFLT3-23E3FB24	0	1229356	0	137805	436391	0	0	23440	0
22CVWFLT3-32EAA478	0	1208526	0	130987	419312	0	0	23099	0
22CVWFLT3-71A9EE7A	0	1239830	0	141833	435781	0	0	23712	0
22CVWFLT3-97BC23	0	1221730	0	136777	428161	0	0	23496	0
22CVWFLT3-FECA104	0	1158500	0	124685	408623	0	0	22186	0
HJCYVCCX2:1	0	197422	0	34984	116781	0	0	12533	0
