readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	13203444	0	895934	2135824	0	0	198329	0
22CVWFLT3	0	2209218	0	147758	352769	0	0	32888	0
22CVWFLT3-285E08E7	0	2206922	0	146258	348658	0	0	32452	0
22CVWFLT3-54388453	0	2099786	0	138492	337628	0	0	31163	0
22CVWFLT3-6CACCAD9	0	2224010	0	155143	360048	0	0	32924	0
22CVWFLT3-7C482AB	0	2204546	0	149646	357059	0	0	32908	0
22CVWFLT3-FFD51A	0	2199342	0	150214	354168	0	0	32122	0
HJCYVCCX2:1	0	59620	0	8423	25494	0	0	3872	0
