Sample	Unique Reads	Duplicate Reads
Tzo-ABol_002-Ex1-2A-lcwgs-1-1.1	750994.0	113312.0
Tzo-ABol_002-Ex1-2A-lcwgs-1-1.2	764547.0	99759.0
Tzo-ABol_003-Ex1-3A-lcwgs-1-1.1	737565.0	119322.0
Tzo-ABol_003-Ex1-3A-lcwgs-1-1.2	753951.0	102936.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-1.1	2597058.0	504740.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-1.2	2656062.0	445736.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-1.1	2339834.0	535976.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-1.2	2399792.0	476018.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-1.1	3914612.0	795363.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-1.2	3999933.0	710042.0
Tzo-ABol_011-Ex1-11A-lcwgs-1-1.1	18772.0	306.0
Tzo-ABol_011-Ex1-11A-lcwgs-1-1.2	18804.0	274.0
Tzo-ABol_012-Ex1-12A-lcwgs-1-1.1	1084346.0	150878.0
Tzo-ABol_012-Ex1-12A-lcwgs-1-1.2	1099990.0	135234.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-1.1	4450525.0	978965.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-1.2	4551256.0	878234.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-1.1	4921188.0	984327.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-1.2	5034591.0	870924.0
Tzo-ABol_024-Ex1-12B-lcwgs-1-1.1	18403.0	338.0
Tzo-ABol_024-Ex1-12B-lcwgs-1-1.2	18465.0	276.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-1.1	2145778.0	369823.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-1.2	2181163.0	334438.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-1.1	4618035.0	850822.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-1.2	4712906.0	755951.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-1.1	4453422.0	815700.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-1.2	4539517.0	729605.0
Tzo-ABol_035-Ex1-11C-lcwgs-1-1.1	262102.0	27666.0
Tzo-ABol_035-Ex1-11C-lcwgs-1-1.2	265524.0	24244.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-1.1	5255953.0	1196972.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-1.2	5371382.0	1081543.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-1.1	2720334.0	525625.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-1.2	2775869.0	470090.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-1.1	2672105.0	417689.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-1.2	2714141.0	375653.0
Tzo-ABol_044-Ex1-8D-lcwgs-1-1.1	4587285.0	1924927.0
Tzo-ABol_044-Ex1-8D-lcwgs-1-1.2	4795784.0	1716428.0
Tzo-ABol_045-Ex1-9D-lcwgs-1-1.1	2918785.0	491196.0
Tzo-ABol_045-Ex1-9D-lcwgs-1-1.2	2970141.0	439840.0
Tzo-ABol_046-Ex1-10D-lcwgs-1-1.1	931669.0	119263.0
Tzo-ABol_046-Ex1-10D-lcwgs-1-1.2	945635.0	105297.0
Tzo-ABol_047-Ex1-11D-lcwgs-1-1.1	4333554.0	892186.0
Tzo-ABol_047-Ex1-11D-lcwgs-1-1.2	4436881.0	788859.0
Tzo-ABol_048-Ex1-12D-lcwgs-1-1.1	1116761.0	133873.0
Tzo-ABol_048-Ex1-12D-lcwgs-1-1.2	1132396.0	118238.0
Tzo-ABol_050-Ex1-2E-lcwgs-1-1.1	2004297.0	307840.0
Tzo-ABol_050-Ex1-2E-lcwgs-1-1.2	2039580.0	272557.0
Tzo-ABol_051-Ex1-3E-lcwgs-1-1.1	880639.0	145181.0
Tzo-ABol_051-Ex1-3E-lcwgs-1-1.2	898738.0	127082.0
Tzo-ABol_052-Ex1-4E-lcwgs-1-1.1	2206765.0	341566.0
Tzo-ABol_052-Ex1-4E-lcwgs-1-1.2	2243785.0	304546.0
Tzo-ABol_053-Ex1-5E-lcwgs-1-1.1	7438160.0	1616068.0
Tzo-ABol_053-Ex1-5E-lcwgs-1-1.2	7594323.0	1459905.0
Tzo-ABol_054-Ex1-6E-lcwgs-1-1.1	6594937.0	1653100.0
Tzo-ABol_054-Ex1-6E-lcwgs-1-1.2	6769370.0	1478667.0
Tzo-ABol_055-Ex1-7E-lcwgs-1-1.1	2467397.0	399198.0
Tzo-ABol_055-Ex1-7E-lcwgs-1-1.2	2513244.0	353351.0
Tzo-ABol_056-Ex1-8E-lcwgs-1-1.1	1540090.0	241808.0
Tzo-ABol_056-Ex1-8E-lcwgs-1-1.2	1570367.0	211531.0
Tzo-ABol_057-Ex1-9E-lcwgs-1-1.1	5507150.0	1165349.0
Tzo-ABol_057-Ex1-9E-lcwgs-1-1.2	5626159.0	1046340.0
Tzo-ABol_058-Ex1-10E-lcwgs-1-1.1	1600180.0	211382.0
Tzo-ABol_058-Ex1-10E-lcwgs-1-1.2	1625162.0	186400.0
Tzo-ABol_059-Ex1-11E-lcwgs-1-1.1	1339792.0	194083.0
Tzo-ABol_059-Ex1-11E-lcwgs-1-1.2	1362980.0	170895.0
