readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	1045672	0	26584	123321	0	0	17784	0
22CVWFLT3	0	174976	0	4307	20434	0	0	3013	0
22CVWFLT3-1367B639	0	167206	0	3878	19660	0	0	2810	0
22CVWFLT3-35B5F10	0	175426	0	4593	20526	0	0	2901	0
22CVWFLT3-6A843C0D	0	174444	0	4263	20383	0	0	3027	0
22CVWFLT3-72B94A5F	0	176584	0	4702	20928	0	0	2929	0
22CVWFLT3-DAEF941	0	174794	0	4573	20569	0	0	2898	0
HJCYVCCX2:1	0	2242	0	268	821	0	0	206	0
