readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	972776	0	20227	122516	0	0	16244	0
22CVWFLT3	0	163854	0	3320	20404	0	0	2678	0
22CVWFLT3-3A6DF9AB	0	155202	0	2933	19213	0	0	2645	0
22CVWFLT3-47D68B3F	0	162748	0	3332	20461	0	0	2661	0
22CVWFLT3-4D5604B2	0	162656	0	3409	20417	0	0	2692	0
22CVWFLT3-664968C3	0	162580	0	3482	20690	0	0	2734	0
22CVWFLT3-B2C1AB1	0	163920	0	3599	20878	0	0	2737	0
HJCYVCCX2:1	0	1816	0	152	453	0	0	97	0
