readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	1382640	0	53987	198565	0	0	23357	0
22CVWFLT3	0	229166	0	8724	31730	0	0	3793	0
22CVWFLT3-37053B7A	0	230130	0	9134	33058	0	0	3565	0
22CVWFLT3-45962D38	0	228038	0	8878	31965	0	0	3596	0
22CVWFLT3-858E87F	0	228622	0	8603	31553	0	0	3686	0
22CVWFLT3-9DC4BEF	0	228510	0	8844	32334	0	0	3773	0
22CVWFLT3-CF98E7C	0	218418	0	7760	30767	0	0	3627	0
HJCYVCCX2:1	0	19756	0	2044	7158	0	0	1317	0
