Sample	Unique Reads	Duplicate Reads
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L3-clmp.r1	2422131.0	38510.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L3-clmp.r2	2423251.0	37390.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L4-clmp.r1	2421076.0	37812.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L4-clmp.r2	2421436.0	37452.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L5-clmp.r1	2406941.0	38234.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L5-clmp.r2	2408237.0	36938.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L6-clmp.r1	2440649.0	39400.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L6-clmp.r2	2440894.0	39155.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L7-clmp.r1	2418629.0	39093.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L7-clmp.r2	2418591.0	39131.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L8-clmp.r1	2309289.0	35826.0
Tzo-ABol_008-Ex1-8A-lcwgs-1-2-L8-clmp.r2	2310837.0	34278.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L3-clmp.r1	3953358.0	120999.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L3-clmp.r2	3949040.0	125317.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L4-clmp.r1	3951577.0	119682.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L4-clmp.r2	3946924.0	124335.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L5-clmp.r1	3939570.0	119308.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L5-clmp.r2	3931188.0	127690.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L6-clmp.r1	3986663.0	125941.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L6-clmp.r2	3980424.0	132180.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L7-clmp.r1	3962204.0	121428.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L7-clmp.r2	3954152.0	129480.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L8-clmp.r1	3802834.0	113075.0
Tzo-ABol_009-Ex1-9A-lcwgs-1-2-L8-clmp.r2	3796925.0	118984.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L3-clmp.r1	4206424.0	58063.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L3-clmp.r2	4210039.0	54448.0
