readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	5212286	0	868991	2712921	0	0	98709	0
22CVWFLT3	0	841168	0	134774	431434	0	0	14481	0
22CVWFLT3-15D03D67	0	806908	0	129373	415783	0	0	13900	0
22CVWFLT3-16808822	0	847434	0	143077	436717	0	0	14147	0
22CVWFLT3-1701A1B5	0	859332	0	146579	443533	0	0	14700	0
22CVWFLT3-52915C3B	0	854132	0	142682	440884	0	0	14069	0
22CVWFLT3-601310A	0	828638	0	134494	424842	0	0	14179	0
HJCYVCCX2:1	0	174674	0	38012	119728	0	0	13233	0
