readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	1339326	0	40916	161727	0	0	20261	0
22CVWFLT3	0	225092	0	6598	26526	0	0	3296	0
22CVWFLT3-196DAE21	0	222694	0	6861	26479	0	0	3297	0
22CVWFLT3-33B1C4C8	0	224476	0	6841	26689	0	0	3241	0
22CVWFLT3-611BD1E6	0	223806	0	6791	26256	0	0	3234	0
22CVWFLT3-6315E942	0	221826	0	6750	27047	0	0	3352	0
22CVWFLT3-7260CE32	0	212488	0	6173	25618	0	0	3187	0
HJCYVCCX2:1	0	8944	0	902	3112	0	0	654	0
