readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	17988564	0	4109466	7040744	0	0	357174	0
22CVWFLT3	0	2998716	0	660982	1171927	0	0	59316	0
22CVWFLT3-14BA6D65	0	3028402	0	703178	1193180	0	0	59721	0
22CVWFLT3-24EE5541	0	2859448	0	646469	1117123	0	0	57245	0
22CVWFLT3-31D141EC	0	3016984	0	701853	1176577	0	0	59135	0
22CVWFLT3-4C454FEF	0	3057146	0	719268	1195985	0	0	60085	0
22CVWFLT3-7587CFA4	0	2969110	0	666127	1147038	0	0	58286	0
HJCYVCCX2:1	0	58758	0	11589	38914	0	0	3386	0
