readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	12957442	0	1985550	3906394	0	0	237684	0
22CVWFLT3	0	2163096	0	321603	650293	0	0	39357	0
22CVWFLT3-1789BBD1	0	2188320	0	345949	661740	0	0	39528	0
22CVWFLT3-4B09CE3	0	2171148	0	337923	657363	0	0	39579	0
22CVWFLT3-5CF08CCB	0	2073462	0	313319	621997	0	0	37743	0
22CVWFLT3-649A5A5F	0	2146594	0	321634	634324	0	0	39018	0
22CVWFLT3-74085AD2	0	2162098	0	335884	648401	0	0	39413	0
HJCYVCCX2:1	0	52724	0	9238	32276	0	0	3046	0
