readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	256576	0	7380	34315	0	0	5375	0
22CVWFLT3	0	38198	0	650	3938	0	0	538	0
22CVWFLT3-1DC5908	0	38254	0	729	4213	0	0	494	0
22CVWFLT3-2B386672	0	35832	0	642	3975	0	0	509	0
22CVWFLT3-2E1AD382	0	38198	0	679	4195	0	0	512	0
22CVWFLT3-53A1A226	0	37636	0	701	3856	0	0	482	0
22CVWFLT3-6AAEFC61	0	37790	0	716	3929	0	0	486	0
HJCYVCCX2:1	0	30668	0	3263	10209	0	0	2354	0
