readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	2964578	0	803016	1676473	0	0	70936	0
22CVWFLT3	0	428648	0	112147	233383	0	0	6647	0
22CVWFLT3-1135FEFD	0	407996	0	111407	223401	0	0	6218	0
22CVWFLT3-2AD36134	0	429322	0	122096	235876	0	0	6485	0
22CVWFLT3-32E7C051	0	417922	0	112748	227328	0	0	6395	0
22CVWFLT3-71A4EE3	0	436574	0	125820	237106	0	0	6722	0
22CVWFLT3-B2AE125	0	435230	0	121504	236890	0	0	6639	0
HJCYVCCX2:1	0	408886	0	97294	282489	0	0	31830	0
