readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	4341410	0	227546	722461	0	0	68035	0
22CVWFLT3	0	701850	0	34034	107354	0	0	9368	0
22CVWFLT3-196DB6DF	0	703252	0	35552	109312	0	0	9577	0
22CVWFLT3-355D90EA	0	707424	0	36133	109621	0	0	9582	0
22CVWFLT3-77CBCAEC	0	669978	0	31790	103384	0	0	9257	0
22CVWFLT3-796FC928	0	700302	0	35010	109151	0	0	9719	0
22CVWFLT3-7CF7C6EF	0	698754	0	33732	107097	0	0	9468	0
HJCYVCCX2:1	0	159850	0	21295	76542	0	0	11064	0
