readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	11449780	0	0	0	13163	0	0	0
22CVWFLT3	0	1764017	0	0	0	2000	0	0	0
22CVWFLT3-19B56331	0	1751321	0	0	0	1966	0	0	0
22CVWFLT3-1E8B7CAD	0	1682170	0	0	0	1983	0	0	0
22CVWFLT3-3AC24878	0	1751708	0	0	0	1991	0	0	0
22CVWFLT3-414E189B	0	1764219	0	0	0	2012	0	0	0
22CVWFLT3-6210A590	0	1750492	0	0	0	1996	0	0	0
HJCYVCCX2:1	0	985853	0	0	0	1215	0	0	0
