readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	350376	0	0	0	594	0	0	0
22CVWFLT3	0	56136	0	0	0	82	0	0	0
22CVWFLT3-295C91E6	0	55462	0	0	0	102	0	0	0
22CVWFLT3-385321EE	0	55400	0	0	0	98	0	0	0
22CVWFLT3-3A073CD9	0	55997	0	0	0	100	0	0	0
22CVWFLT3-4F1611BF	0	55491	0	0	0	106	0	0	0
22CVWFLT3-63F1E6CB	0	52882	0	0	0	72	0	0	0
HJCYVCCX2:1	0	19008	0	0	0	34	0	0	0
