readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	5509660	0	1116489	3212095	0	0	92265	0
22CVWFLT3	0	863950	0	169664	498166	0	0	12013	0
22CVWFLT3-1B4F0716	0	885020	0	182249	511174	0	0	12202	0
22CVWFLT3-33BA5535	0	878974	0	182559	504187	0	0	12176	0
22CVWFLT3-364DBE9A	0	850512	0	167998	488200	0	0	11880	0
22CVWFLT3-3DC948BC	0	888984	0	186661	512021	0	0	12178	0
22CVWFLT3-71D81D66	0	831544	0	163899	478420	0	0	11496	0
HJCYVCCX2:1	0	310676	0	63459	219927	0	0	20320	0
