readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	700086	0	61723	274321	0	0	25009	0
22CVWFLT3	0	60238	0	1363	9394	0	0	642	0
22CVWFLT3-1A719B51	0	59516	0	1286	9248	0	0	649	0
22CVWFLT3-1AFFC7C9	0	56150	0	1134	8675	0	0	684	0
22CVWFLT3-34BEB9D	0	60210	0	1229	9294	0	0	639	0
22CVWFLT3-4EE262EF	0	59136	0	1343	9634	0	0	714	0
22CVWFLT3-612C1220	0	58806	0	1446	9509	0	0	658	0
HJCYVCCX2:1	0	346030	0	53922	218567	0	0	21023	0
